title,link,Description
Grand Rapids Press Historical Archives,http://kdl.idm.oclc.org/login?url=https://infoweb.newsbank.com,"Search people, places, organizations, events, historical topics and more fromThe Grand Rapids Press. This authoritative source for local information includes birth, marriage and death notices, and all photographs and advertising. Browse or search full text from 1893 to 1970."
Health Source: Consumer Edition,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-hxh,This rich collection of consumer health information provides access to full-text consumer health magazines and reference books. It also includes searchable full text for current health pamphlets.
Health Source: Nursing/Academic Edition,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-hch,"A trusted full-text database covering nursing and allied health topics, including pediatric nursing, critical care, mental health, nursing management, medical law and more."
History Reference Center,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-hrc,"Covering both U.S. and world history topics, History Reference Center is a full-text database featuring historical reference books, magazines, journals and thousands of primary source documents."
Hobbies & Crafts Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-hcrc,"This database offers detailed ""how-to"" instructions and creative ideas to meet the interests of virtually every hobby enthusiast. Full text is provided from leading hobby and craft magazines."
Home Improvement Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-hirc,"Through a collection of comprehensive full-text content, this database provides users with detailed, user-friendly “how-to” information covering a variety of home improvement and repair projects."
Hoopla,https://hoopladigital.com,"Borrow digital movies, music, audiobooks, ebooks, comics and TV shows to enjoy on your computer, tablet, or phone — and even your TV. With no waiting, titles can be streamed immediately or downloaded to phones or tablets for offline enjoyment later. Choose from hundreds of thousands of titles, with more being added daily."
Hoopla (Español),https://hoopladigital.com,"Hoopla tiene películas, música, programas de televisión,audiolibros, libros electrónicos y cómics, todo en formato digital."
Humanities Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-hus,"Humanities Source is a valuable full-text database covering literary, scholarly and creative thought. It provides full text, indexing and abstracts for the most noted scholarly sources in the humanities."
iVOX: Books That Move,https://kdl.org/resource/ivox/redirect,"iVox is an interactive storybook app for children ages 4-8. Designed for little hands and big imaginations, iVox brings favorite stories to life with 3D characters and scenes that children can explore. Confident readers can practice their skills in a new and fun way, while emerging readers will be helped along the way with engaging narration."
Kanopy,https://kdl.kanopy.com/,"Find movies, documentaries, foreign films, classic cinema, independent films and educational videos that inspire, enrich and entertain. Enjoy an ad-free experience on your TV, mobile phones, tablets and online."
KDL Stump the Librarian Podcast,https://kdl.org/stump-the-librarian/,"Where your friendly neighborhood librarians put their research skills to the test answering questions from you, the listener! Join Jill and Liz every other Wednesday to learn new and exciting information. Think you have a question that can stump us? Visit www.kdl.org/stump to submit a question of your own!"
KDL Vibes: Local Music,https://vibes.kdl.org,"The mission of KDL Vibes is to provide a platform to support local artists and provide exposure to listeners in the community. West Michigan’s musical culture is diverse and always growing, but not always easy for everyone to access. KDL Vibes is here to help our patrons discover a wealth of today’s local music, support local artists, and support our music community as a whole."
LearningExpress Library,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=lex,"A completely interactive online learning platform providing instant access to a comprehensive collection of test preparation tools, skill-building materials, and career resources. Includes over 1,000 online practice tests and interactive skill-building tutorials to prepare for the GED, ACT, SAT, GRE, GMAT, LSAT, and MCAT tests, as well as AP exams and professional certification and licensing tests in a range of occupations."
Legal Information Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-lirc,"An online database designed to assist the general public in legal matters of all kinds. It includes exclusive full text for many top consumer legal reference books, as well as thousands of legal forms."
Legal Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-lgs,"Providing indexing and full-text coverage of the most respected scholarly law journals, Legal Source is the authoritative database for current issues, studies, thoughts and trends of the legal world. It is an excellent resource for attorneys, educators, business people, law librarians, students, paralegals and others involved with the law."
Library & Information Science Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-lls,The most complete resource for library and information science studies. It offers journals and periodicals that help librarians and researchers keep pace with the latest trends in the rapidly evolving field.
LinkedIn Learning,https://www.linkedin.com/learning-login/go/kentdistrictlibrary,"Choose from thousands of online courses to learn in-demand skills from real-world industry experts. Get started with your library card. When using the phone app, enter library IDkentdistrictlibrary(all lowercase, no spaces). Then enter your barcode and PIN."
LinkedIn Learning (Español),https://es.linkedin.com/learning-login/go/kentdistrictlibrary,"Cursos para todas las etapas de tu carrera. Instructores con experiencia en el mercado. En la aplicación movil, usakentdistrictlibrarypara conectar con la biblioteca."
Literary Reference Center,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-lrc,"This robust full-text database provides the most relevant information on thousands of authors and their works across literary disciplines and timeframes. It gives students, teachers and librarians a complete foundation of literary reference works to meet their research needs."
Little Pim,https://kdl.org/resource/little-pim/redirect,"Powered by Mango Languages, Little Pim is a fun and convenient way to introduce a child to a foreign language in a way they can understand and enjoy. Courses are available in nine foreign languages as well as English/ESL."
Lowell Ledger,https://archives.kdl.org,Weekly newspaper serving the city of Lowell and surrounding townships. Browse or search full text from 1870 to 2018.
Mango Languages,https://kdl.org/resource/mango-languages/redirect,"Mango is an online language learning system that teaches practical conversation skills for real communication. It's a fast, easy, and effective way to learn to speak a foreign language. Courses are offered for70 foreign languagesand ESL tailored for20 languages."
MAS Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-mat,"Designed specifically for high school students, MAS Complete is a full-text database providing hundreds of popular high school magazines and reference books. Covering subjects such art, history, sports and music, it also includes thousands of biographies and primary source documents, plus over a million photos, maps and flags."
MasterFILE Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-f6h,"The largest collection of popular full-text magazines, reference books and other highly-regarded sources from the world's leading publishers. Covering virtually every general interest subject area, it also includes an extensive collection of photos, maps and flags."
Michigan eLibrary (MeL),http://www.mel.org,"An anywhere, anytime library available free to all Michigan residents. Contains a variety of databases, recommended web links, the Michigana digital Michigan history collection, and online resources for educators that are tied to the state curriculum standards."
Michigan History Magazine,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=mihistory,"A popular history magazine geared toward professionals and enthusiasts alike, Michigan History offers a wide variety of subject matter, time frames, and perspectives while inspiring, educating, and entertaining its readers."
Middle Search Plus,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-mih,"A full-text database providing popular middle school magazines and reference books. Covering subjects such as history, current events, science and sports, it also includes thousands of biographies and primary source documents, plus over a million photos, maps and flags."
MyHeritage,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=myheritage,"MyHeritage Library Edition is one of the largest, most internationally diverse genealogy databases of its kind. Access to billions of historical documents, millions of historical photos and other resources in thousands of databases that span the past five centuries."
New York Times,http://kdl.idm.oclc.org/login?url=https://go.gale.com/ps/start.do?p=SPJ.SP03&u=lom_kentdl,Search full-text articles fromThe New York Timesback to 1985.
NewsBank,http://kdl.idm.oclc.org/login?url=https://infoweb.newsbank.com,"Full text of major national news magazines. IncludesNewsweek,The New Yorker,The Atlanticand more."
Newspaper Source Plus,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-n5h,"A full-text digital collection of the world's major news content. It includes millions of articles from newspapers, newswires and news magazines. In addition, it offers television and radio transcripts and ongoing daily updates from popular news sources."
NoveList K-8 Plus,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s9117311&groupid=main&profile=novpk8","Find just the right book by subject, age, awards won, Lexile reading levels, Common Core standards, books made into movies, and much more. Read reviews, learn about the author and create your own reading wish list."
NoveList Plus,"http://kdl.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,cpid&custid=s9117311&profile=novplus","Don't know what to read? Start your journey here. Search by author, title, series, plots, or even books like the one you just finished. Browse lists of award winners, lists of genres, and lists based on age. Create and save lists of your own favorites. Find book discussion guides and more. In addition to fiction, includes suggestions for audiobooks and nonfiction."
Online Book Clubs,http://kdl.idm.oclc.org/login?url=http://kent-district.dailybookclubs.com/,"Get the first few chapters of a book emailed to you weekly. Every day, Monday through Friday, you will receive in your email a five-minute selection from a book in your selected genre. By the end of the week, you'll have read two to three chapters, enough to know if you “just-have-to” finish the book. Choose from 12 different genres, with new books featured each week."
OverDrive (and Libby app),https://kdl.overdrive.com/,"Borrow and read free ebooks, audiobooks and magazines from your library using your phone or tablet. It’s easy to get started ? all you need is a library card."
OverDrive y Libby (Español),https://kdl.overdrive.com/,"OverDriveofrece libros electrónicos, audiolibros en audio y revistas."
PebbleGo,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=pebblego,"Geared toward grades pre-k to 3rd grade, this early literacy and learning tool features animals (including dinosaurs) and social studies sections. Easy-to-navigate visual interface for emerging readers."
Peterson's Test Prep (formerly Testing and Education Reference Center),http://kdl.idm.oclc.org/login?url=https://link.gale.com/apps/TERC?u=lom_kentdl,Use this database to search thousands of college and graduate school entries. Identify scholarships that meet their financial needs. Take online practice tests and use test prep eBooks to obtain your education goals.
Poetry & Short Story Reference Center,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-prc,"Provides a historically rich collection of hundreds of thousands of classic and contemporary poems, as well as short stories, biographies and authoritative essays on such topics as poetic forms, movements and techniques — including contemporary content from the finest publishers."
Points of View Reference Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-pov,"Presents multiple sides of over 400 issues. Helps students assess and develop persuasive arguments and essays, better understand controversial issues, and develop analytical thinking skills."
Political Science Complete,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-poh,"Covers political topics with a worldwide focus, reflecting the globalization of contemporary political discourse. Geared toward students, researchers and government institutions."
Primary Search,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-prh,"Popular children’s magazines, easy-to-read encyclopedic entries and a vast image collection. Students can learn about a variety of topics, including endangered species, famous musicians, fitness and space exploration."
Professional Development Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-tfh,"A highly specialized database of full-text electronic information especially for educators, professional librarians and education researchers."
Psychology and Behavioral Sciences Collection,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-pbh,"An essential tool for psychologists, counselors, researchers and students, providing extensive coverage for a broad range of subjects in the fields of psychology, behavioral sciences and related disciplines."
Read It!,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-ell,"Designed for middle and high school students and adults who have a basic foundation in English grammar and reading but need adapted reading material for a variety of subjects. It offers resources to help build background knowledge, conduct research and improve study skills."
Recursos Para Hispanohablantes from LearningExpress Library,http://kdl.idm.oclc.org/login?url=http://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=lexrph,"Herramientas de aprendizaje, carrera y ciudadanía en español."
ReferenceUSA now Data Axle Reference Solutions,http://kdl.idm.oclc.org/login?url=https://www.referenceusa.com/,"Extensive corporate and residential contact information. Search by name, location, product, phone number and more."
Referencia Latina,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-slrc,Referencia Latina ofrece artículos de revistas en español de los Estados Unidos y el mundo.
Rosetta Stone,https://kdl.org/resource/rosetta-stone/redirect,"Rosetta Stone offers libraries and their users the proven immersion method that more than 20,000 schools and 9,000 businesses have trusted for over the last 20+ years. The award-winning interactive approach has been used by millions of learners around the world and now is accessible in the library or anywhere, anytime.  Create a Rosetta Stone account with your email address to get started."
Rosetta Stone (Español),http://kdl.idm.oclc.org/login?url=https://secure.rosettastone.com/lp/es/ebsco/?custid=s9117311,"Aprende más de 24 idiomas. Puedes estudiar en tu celular, tableta o computadora. El programa es interactivo y ofrece tutores por internet."
Scholastic Teachables,https://kdl.org/resource/scholastic-teachables/redirect,"Scholastic Teachables offers teaching resources for every subject such as lesson plans, mini-books and activity sheets to help educators plan for the school year. Teachables content extends from Pre-K to 6th grade."
Science Reference Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-scirc,"Contains material from science encyclopedias, reference books, periodicals, and other sources. More than 4,000 full text, full-length biographies. Includes: biology, chemistry, earth & space science, the environment, health & medicine, history of science, life science, physics, science & society, science as inquiry, and wildlife."
Small Business Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-sbrc,"Top consumer small business reference books, as well as tools to address many small business topics. It includes business videos, a help and advice section and details on how to create business plans."
Small Engine Repair Source,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebscoprofile-serrc,"Provides detailed yet user-friendly repair guides for all manner of small engines. All of the content is organized in a powerful, easy-to-use manner so that users can quickly find the information they need."
Suburban Life Archive,https://archives.kdl.org,Weekly newspaper serving Cascade Township and the surrounding area.
TumbleBooks,http://kdl.idm.oclc.org/login?url=http://www.tumblebooklibrary.com/autologin.aspx?userid=63R7jKR%2fxMJluJmuSV0MVw%3d%3d,"A collection of animated, talking picture books, as well as games, educational tools and more."
Value Line,https://kdl.idm.oclc.org/login?url=https://research.valueline.com/secure/research,"Search investment-related data, news, and analysis from Value Line. Covers 3,500 stocks across 100 industries."
Vocational Studies Premier,http://kdl.idm.oclc.org/login?url=https://widgets.ebscohost.com/prod/customerspecific/mel/auth.php?database=ebsco-vsh,"Designed specifically for the research needs of two-year colleges, this full-text resource offers scholarly content most relevant to vocational programs."
What's Next™: Books In Series Database,http://ww2.kdl.org/libcat/whatsnext.asp,Search by book or series title or author to find the next book in a series.
World Book Early Learning,http://kdl.idm.oclc.org/login?url=https://www.worldbookonline.com/ewol/home?subacct=18279,"A wealth of resources to help preschoolers and children in the early grades grasp critical early childhood themes. Strengthen reading foundations with stories, activities and videos. Explore the Know It encyclopedia designed especially for early readers. Also includes materials for educators."
World Book Kids,http://kdl.idm.oclc.org/login?url=https://www.worldbookonline.com/kids/home?subacct=18279,"Online version of the popularWorld Book Encyclopedia. Features easy-to-read articles and a wealth of engaging multimedia, games, science projects, interactive tools, and activities."
